country_code,city_code,city_name,time_zone
US,BLW,Waimanalo,Pacific/Honolulu
US,HNM,Hana,Pacific/Honolulu
US,HDH,Oahu,Pacific/Honolulu
US,BSF,Pohakuloa,Pacific/Honolulu
US,NAX,Kapolei,Pacific/Honolulu
US,MUE,Kamuela,Pacific/Honolulu
US,JRF,Kapolei,Pacific/Honolulu
US,LUP,Kalaupapa,Pacific/Honolulu
US,BKH,Kekaha,Pacific/Honolulu
US,JHM,Kapalua,Pacific/Honolulu
US,HNL,Honolulu,Pacific/Honolulu
US,WKL,Waikoloa,Pacific/Honolulu
US,HHI,Wahiawa,Pacific/Honolulu
US,OGG,Kahului,Pacific/Honolulu
US,UPP,Upolu Point,Pacific/Honolulu
US,ITO,Hilo,Pacific/Honolulu
US,LNY,Lanai,Pacific/Honolulu
US,KOA,Kailua-Kona,Pacific/Honolulu
US,USA,Concord,US/Eastern
US,PAK,Hanapepe,Pacific/Honolulu
US,MKK,Hoolehua,Pacific/Honolulu
US,LIH,Kauai Island,Pacific/Honolulu
